[35.483562, 33.893968]
[35.484361, 33.892556]
[35.484483, 33.890219]
[35.491667, 33.889563]
[35.500984, 33.888823]
[35.506302, 33.887186]
[35.516141, 33.886740]
[35.520856, 33.889030]
[35.520633, 33.893019]
[35.519130, 33.893899]
[35.519604, 33.895171]
[35.523653, 33.896005]
[35.527177, 33.897398]
[35.527653, 33.899118]
[35.542167, 33.895717]
[35.551764, 33.892753]
[35.554893, 33.889869]
[35.560622, 33.892323]
[35.563748, 33.893042]
[35.569848, 33.898139]
[35.575792, 33.903067]
[35.580226, 33.906865]
[35.584881, 33.912213]
[35.589516, 33.916571]
